,Title,Review,Collections
282,Thithi,"विरक्तं करोति प्रेक्षकम्। यथा तत्र गड्डप्पः सरलः प्रधानः। यौवने धर्मिष्ठः, क्षमावान्। अवर्धयत भ्रातॄन् पुत्रञ्च। अक्षमत श्वशुरेण सह व्यभिचरन्तीं पत्नीं तदीयात्महत्यायाः‌ पुत्रैकघातिन्याः परम्। कट्वनुभवैर् धर्मे ऽर्थे कामे चाजयत तदीय जुगुप्सा। सरलो बाल इव चलितुं बालैस् सहोपद्यूतङ् क्रीडितुम्, मदिराम् पातुम्, अन्यान् तोषयितुं वाञ्छति। निःस्पृहो ऽसौ व्यभिचरन्नपि नाधिकं व्यभिचरति।
तत्पुत्रो गृहधर्मार्थप्रधानप्रायः - धर्मं व्यभिचरन्नपि सम्पिपादयिषत्य् अर्थस्थैर्यम्।
तत्पौत्रो युवा कामी। द्युतमदिरासक्तः, तरण्यभिगमं वाञ्छति।
तत्र ग्रामस्थेषु सञ्चरत्सु च मेषपालेषु पात्र-वैविध्यमपि - मदिराविक्रेत्री धर्मिष्ठाऽपि कठोरा ऋणपूरणे, वञ्चने सिद्धः कायस्थकल्पः, पत्नीतर्जितभीतपतिः, द्यूतवञ्चकः, मेषपालकेषु सुन्दरी…
सर्वमेतत् क्रमश आविर्भवति। ""अग्रे किम्"" इति प्रेक्षककौतुकं यथा स्यात्। अन्तेऽपि।","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
283,Fight club,"Synopsis__: An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into a wide anarchist, anti-consumerist anti-self-domestication movement which ends up blowing up credit card debt data. Towards the end the office guy discovers that the soap maker is himself - and he merges with him after a climax.
Comments__: Great story, fine climax. A fine caricature of the problem, if not the solution.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
284,The Bicycle thief,"Synopsis__: Italian neorealism. A desperate poor man (who will loose his job if he does not recover his stolen bicycle) and his son search of a bicycle. In final desperation, he tries to steal the bicyle -only to be caught and beaten by a crowd, only to be let off out of pity.
Comments__: Hopeless situation and dire poverty. But the humans are quite genuine and noble - father and mother trying to provide for the family, the kid helping out as he can.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
285,The man from earth,"Synopsis__: A professor moving out of town reveals that he has remained unaging since the stone age. People react differently - jealousy, mockery, disbelief, indignant shock at one's beliefs about Jesus being contradicted, heart attack at realizing that one is his son.
Comments__: Fairly predictable once the characters are understood, There are surprises thrown in once in a while - but that may be gleaned by reading at the plot.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
286,Rome,"Synopsis__: Reimagined story of Julius, Octavian, Octavia, Marcus Antonius, Pompeii, ...

My impression from it is that Julius and his adapted son Octavian can almost be seen as being ""vigrahavaan dharma"" (or atleast as close as can be expected from the barbarians). They, akin to their opponents Brutus, Cato and Cassius were primarily motivated by dharma (rather than kAma and mere artha). Similarly the stoic soldier Lucius Verinius. The opposition was dumbocratic, so misled. julius and Octavian (especially the latter) were not only right minded but also ruthless and able, as they ought to have been.
Pompey Magnus wanted artha and kAma tad too much. Marcus Antonius was entrapped in kAma. Cleopatra used kAma as a tool to pursue her dharma, according to their version.
The preta-background makers showed roman and egyptian paganism (as well as the jewish monotheism) fairly well, but their supercilious abrahamistic bias was clear in places (hard to expect anything better from them, perhaps).
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
287,Vikings,"Synopsis__: 

Frankly, it is hard to watch (for pagans) after 3.6. Born Again but becomes tolerable after around 4.4. They make Ragnar a crypto-Christian who conflates his admiration for the wealth and technological advancement of the Christianized territories (which they correctly hint as actually stemming from atleast the pagan Roman times), with a curiosity for preta-mata. While such phenomena might have been at work in the past, one would at least have expected heroes such as Ragnar (who can be compared with our own shALivAhana) to be more discerning. They should have assigned such idiocy to a lesser person. There are many other staunch pagan characters.
Later still, they make Ragnar an atheist, and the hearty pagan Floki tolerant of the maru intolerance.

Before that IMDB gives a rough guide as to what is watchable. There are a few snippets which give a glimpse into the rich Norse mythology.
Comments__: Good to watch shield maidens, seers, farmers, mild admiration of paganism, thwarted treachery.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
288,The PhD Movie.,"Synopsis__: PhD comics characters in a movie with an upbeat ending despite being realistic.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
289,Violent cop,"Synopsis__: A violent anti-hero (wears a cross, homosexual) clashes with a violent cop with a listless drug addicted sister. Both violate rules and orders to ruthlessly eliminate the opposite side, and are quite comfortable with violence. They end up killing each other starting from a drug-murder trail. The associated rookie cop turns dirty after all this in the final scene.
Comments__: Classic shots.
But the rookies turn is rather nihilistic and depressing. Must be watched with care.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
290,Mr Smith goes to Washington,"Synopsis__:  An naive idealistic boy scout organizer gets nominated to be US senator, faces graft, compromized politicians and businesses in washington, does a filibuster in a public opinion counter-offensive against fake charges designed to expel him
Comments__:  4/4. reminder of the power of ideals, how some ideals should stand despite appearing to be lost causes.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
291,american beauty,"Synopsis__:  a man in a mid-life crisis gets fired, finds a happy low-paying job, dicovers that his wife is adulterous, his daughter does not respect him while her friend tries to seduce him.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
292,Requiem For A Dream,"Synopsis__: The disaster of drug addiction as a hapless mother (diet pill addiction), her son (started off pawning his mom's television, arm sawed off in the end to prevent infection spread), his girlfriend (alienated from her family, ends up whoring) and his african american friend (jailed). so caught up that they cannot help themselves - until it is too late. The temptation, desperation, shattered dreams are all shown well.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
293,mississippi masala,"Synopsis__:  indian ugandan american falls for african american.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
294,gone with the wind,"Synopsis__:  girl of the south at the end of the confederate states of America, romantically purues multiple men, looses family members one after another and finally settles to tend the land.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
295,lost in translation,"Synopsis__:  western girl and dimmming film star in japan
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
296,grinch,"Synopsis__:  fantasy town creatures show grinch christmas spirit
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
297,lost,"Synopsis__:  a confused TV series with the plot being made-up as they go along.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
298,chocolat,"Synopsis__:  a hyper-christian mayor unable to control his desire for chocolate.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
299,lagaan,"Synopsis__:  cricket against brits in 1900 gujarat to avoid tax
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
300,rang dE basantI,"Synopsis__:  Louts from a Delhi university reprise the roles of the great intellectuals/ revolutionaries led by chandrashEkhar Azad, die spreading a story about a corrupt defence deal, die.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
301,hare krishna hare ram,"Synopsis__:  rescue of sister from drug addiction fails.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
302,magnolia,"Synopsis__:  stories about coincidences, materialism, the US civilization where parents and children so easily forsake responsibilities
Comments__:  not 4/4. - stopped midway.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
303,Rebel without a cause,"Synopsis__:  a sincere young teen from a household (a zoo) with a henpecked husband, of which he is ashamed,who repeatedly trys to prove that he is not 'chicken', whose family moves repeatedly, confronts other violent uncultured teenagers amongst whom peer pressure results in insincerity, befriends an insecure kid from a broken home and falls in love, but looses the kid to violence
Comments__:  4/4. (shRRi~NgAra, hAsya, lajjA, jugupsA, vIra).","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
304,The Help,"Synopsis__: Events in Jackson involving southern white families and their condescending treatment of black maids just before MLK activism
Comments__:  cliche and mediocre.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
305,The kite runner,"Synopsis__: A writer boy who flees Afghanistan during soviet invasion with dad grows up and marries daughter of refugee general and returns to taliban land via paksitan to rescue (newly known and dead) half-brother's kid.
Comments__: A good intro to the afghan bachChAbAzi culture and pakhTUn-hazAra-dealings. Contrast between a servant boy's courage and the master boy's excess timidity + betrayal. Afghan emigrant conservative elite in US. Priority of social respect in afghAn culture throughout.
kashcidvipashcit.wordpress.com/2017/11/05/hindu-reflections-on-the-kite-runner-and-cassandra-effect/","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
306,Crocodile Dundee,"Synopsis__:  outback aborigine raised man encounters big city New York where his simple manners and outback skills aid him
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
307,12 Angry Men,"Synopsis__: Jury deciding the fate of one slum boy accused of murder, initially votes guilty 11 to 1 - guilt should be declared only if there is reasonable doubt. One guy thinks there is reasonable doubt, slowly wins over more and more of the opposition, overcoming prejudice against slum-people, against young people; ""don't care"" attitudes, squabbles that get personal, bullying.
Comments__: 4/4.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
308,Django Unchained,"Synopsis__: Ante-bellum era German dentist turned bounty-hunter frees slave, teams up with him - first to collect bounties, then to help free the slave's german speaking wife Broomhilde. Western style shootouts, capture. Stylized blood splashes in fights. Gory scenes of whipping, castration, chaining, gladiator fights, forced marches of slaves along the way - Contrasted with southern hospitality, charm, miappropriation of European culture (Beethoven, the ironically black Dumas) which irritates the german.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
309,Being There,"Synopsis__: Chance, a simple illiterate gardener, has never left the estate until his employer dies. By happenstance, he comes into the household of the chief of the powerful Rand corp.
His simple TV+gardening utterances are mistaken for profundity. The character remains truthful, calm and contented, unfazed by reverses.
Comments__: Great satire. Fine character.","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
310,The Book Thief,"Synopsis__: Girl in Nazi germany, grows up in adapted family, with sheltered jew Max, sweet neighbor kid Luri - endures Nazi book burning, Jew-round up, conscription of dear ones, bombings, death.
narrated by death.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
311,Description,"Synopsis__: This could include action adventures.
Comments__:","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
312,V for Vendetta,"Synopsis__:  Orwell's 1984 reprised with a strong skilled wise disfigured hero with a Guy Fawkes mask whose vengeful schemes spark a revolution - with a bystander girl who is transformed in the process do defiantly hold on dharma
Comments__:  beautiful language in dialogues and plot.","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
313,brazil,"Synopsis__:  a love-struck bureaucrat in a bureaucratic dystopia with a plastic-surgery loving mother is processed by the ruthless system upon becoming an outlaw eventually escaping to imagination
Comments__:  brilliant visuals, sound, parody.","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
314,Clockwork orange,"Synopsis__: An intelligent beethoven loving hoodlum in a society rife with disorder is conditioned to become sick at the thought of fighting and sex, then suffers revenge, then is reverted to being a hoodlum.
Comments__: 4/4.","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
315,Total Recall,"Synopsis__:  koato the great, mutants, and arnold schwarzenegger free mars essentially a comment on the 'resource curse' that afflicts nations like Lybia, Saudi Arabia, Brunei.
Comments__: 4/4.","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
316,Manchurian candidate,"Synopsis__:  gulf war US team's memory is replaced and behaviors manipulated to make a vice-presidential candidate look like hero - but the attempt is jinxed.
Comments__:","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
317,One flew over the cuckoo's nest,"Synopsis__: Thief faking madness rebels against Nurse Mildred's tyranny which keeps patients from healing; does a field trip in a boat, has an orgy before planned escape with a mute Indian chief, gives sexual experience to an insecure voluntary inmate, oversleeps, becomes angry when the nurse spoils the inmate's confidence, chokes her, is lobotomized, gets euthanized by the chief who finally escapes cheered by others.
Comments__: 4/4.","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
318,Bourne supremacy,"Synopsis__:  former CIA covert assassination racketeer tries to frame Bourne, but is trapped by his great skill in escaping stakeouts and by fighting, shooting and driving, multilingual quick brain
Comments__:  4/4.","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
319,Bourne ultimatum,"Synopsis__: they still try to kill him, he returns and helps expose them using same tactics
Comments__:","Rebels against the ruthless system,,Relationships, society and morals:Commentaries on (sections of) societies.:Rebels against the ruthless system:,Relationships, society and morals,Commentaries on (sections of) societies."
320,fahrenheit 9/11,"Synopsis__:  saudi influence on US politics, vain deaths of US soldiers in the badly justified Iraq war.
Comments__:",",Relationships, society and morals:Commentaries on (sections of) societies.:Documentaries:,Documentaries,Relationships, society and morals,Commentaries on (sections of) societies."
321,Sicko,"Synopsis__:  moving - but scholastically unsatisfactory- account of the downside of US system of paying for health care using insurance.
Comments__:",",Relationships, society and morals:Commentaries on (sections of) societies.:Documentaries:,Documentaries,Relationships, society and morals,Commentaries on (sections of) societies."
322,Khosla ka Ghosla ,"Synopsis__: Property is stolen using forged paperwork. The duped dupe the powerful duper with strong henchmen. The victim's son wants to go to USA, but is vexed by all this. He uses local malla-s to reclaim the land for a short while before corrupt police reverse the situation. Ultimately they con the theif into ""buying"" land belonging to the government after some tense drama. The family becomes closer as a result.
Comments__:","Commentaries on (sections of) societies.,Relationships, society and morals,Relationships, society and morals:Commentaries on (sections of) societies."
323,Othello,"Magic with just 4 actors playing many different roles. Wonderful pipe music!
Much talent and joy compressed in a few actors. The sUtradhAra musician played 3 different pipes as needed. No mikes, they spoke with booming voices from the stomach.",",Relationships, society and morals:Commentaries on (sections of) societies.:nATakam:,nATakam,Relationships, society and morals,Commentaries on (sections of) societies."
324,Hamlet,,",Relationships, society and morals:Commentaries on (sections of) societies.:nATakam:,nATakam,Relationships, society and morals,Commentaries on (sections of) societies."
325,fiddler on the roof,"Synopsis__: travails of the jews in russia
Comments__:",",Relationships, society and morals:Commentaries on (sections of) societies.:Death of civilizations.:,Death of civilizations.,Relationships, society and morals,Commentaries on (sections of) societies."
326,the last of the mohicans,"Synopsis__:  two mohicans and a white raised as a mohican participate in the fight against French and twisted Huron mercs on the side of the colonists and british
Comments__:  4/4. - just the tune and the memory of the trio running around makes me want to hike to the limit of considerable hiking abilities in the NE USA mountains, enjoying the cold fresh wind",",Relationships, society and morals:Commentaries on (sections of) societies.:Death of civilizations.:,Death of civilizations.,Relationships, society and morals,Commentaries on (sections of) societies."
327,Xuan Zang,"Synopsis__: Chinese film with Sanskrit and Hindi dialogs by Indian actors in buddhist roles. A curious depiction of Xuan Zang's quest, with loud observations about India's exoticism, caste inequalities, the heavenly approval of teh Tang emperor.
Comments__:",",History,Relationships, society and morals:Commentaries on (sections of) societies.:History:,Relationships, society and morals,Commentaries on (sections of) societies."
328,you got mail,,"Relationships, society and morals"
329,titanic,,"Relationships, society and morals"
330,the guru,,"Relationships, society and morals"
331,fourth protocol,"Synopsis__:  soviet spy deeply disguised as navy officer sees girlfriend murdered by white house chieftain.
Comments__:","Relationships, society and morals"
332,for rich or poor,"Synopsis__:  divorce lawyer gets divorced by clever divorce-money babe.
Comments__:","Relationships, society and morals"
333,Delivery man,"Synopsis__: Mediocrity-filled sperm donor fathers 500 children. Reconnects with them as they try to unmask him. Fathers another with his new partner.
Comments__:","Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
334,Six feet under,"Synopsis__:  dysfunctional family in the embalming/ cremation business with interesting characters
Comments__:","Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
335,casablanca,"Synopsis__:  In vichy france occupied Casablanca, a clever American resturanteur, a chzeck resistance leader and their common love interest, the latter two of which are helped to flee by the first despite having been let down by the lady in Paris of the past
Comments__:  4/4., good dramatic exposition of the feelings (self pity, dEsha-prEma, vIra, viShAda, rati and shRRi~NgAra) experienced by the three and cunning displayed by one in various situations in Paris and Casablanca.","Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
336,the sound of music,,"Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
337,evelyn,"Synopsis__:  alcoholic irishman fights for child's custody
Comments__:","Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
338,life as a house,"Synopsis__:  fired dying architect reconnects to son and wife.
Comments__:","Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
339,Eternal sunshine of the spotless mind,"Synopsis__: a regular sweet guy and an impulsive girl fall in love, have wonderful experiences, ultimately have a fight. girl and then they guy (hurt by non-recognition) medically erase each other from memory. the guy (sleeping while the procedure happens) changes his mind and tries to fight the erasure by going off the ""experience map"" shared with the doctor earlier by taking his memory of the girl elsewhere. during the procedure, the female assistant realizes the value of memories after she learns that she's had her own memory wiped - and determines to tell all patients about their lost memories. but the girl and the guy somehow retain an inkling that they're missing something - happen to meet and fall in love again. they then learn about their negative feelings about each other from tape sent by the doctor's assistant. somehow make up and live happily.
Comments__: great adventure in memory zone. quite sweet. brings home the realist message of the inevitable surfacing imperfections and irritations in a couple - and the rewards that await if they overcome it (with pain).","Romance and family triumphs,Relationships, society and morals,Relationships, society and morals:Romance and family triumphs"
340,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,comedy
341,the dictator,"Synopsis__: The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed. Visits New York, gets kidnapped, beard goes, works in a shop, finally gets his place back.
Comments__:",comedy
342,the dictator,"Synopsis__:  ridiculous hitler
Comments__:",comedy
343,the cable guy,,comedy
344,the ladykillers,"Synopsis__:  latin professor and thief team decimate themselves
Comments__:",comedy
345,ace ventura 2,,comedy
346,the mask,,comedy
347,sgt bilko,,comedy
348,the naked gun,,comedy
349,I spy,"Synopsis__:  spy in east europe with funny boxer stops sale of invisible plane to terrorists.
Comments__:",comedy
350,bean,"Synopsis__:  the screw-up genius art expert (sic)
Comments__:",comedy
351,mars attacks,"Synopsis__:  comically fierce martian invaders get splattered with music.
Comments__:",comedy
352,stop or my mom will shoot,,comedy
353,Blues brothers,"Synopsis__:  two weird blues singers put together their band to raise money for their orphanage's tax bill
Comments__:",comedy
354,galaxy quest,"Synopsis__:  parody on star trek involving naive ever-smiling aliens recreating starfleet based on television broadcasts.
Comments__:","Parodies,comedy,comedy:Parodies"
355,i dream of jeannie,,comedy
356,popeye the sailor,,comedy
357,donald duck,,comedy
358,flintstones,,comedy
359,popeye,,comedy
360,tom and jerry,,comedy
361,mad tv,,comedy
362,frasier,,comedy
363,mork and mindy,,comedy
364,carry on doctor,,comedy
